#,Fase,Categoría,Servicio,¿Sonia lo hace?,Precio (USD),Notas
179,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.2 Camino a Residencia Permanente,Solicitud de pasaporte,☐ Sí ☐ No,💡 140+ países,
180,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.2 Camino a Residencia Permanente,Consultoría de segundo pasaporte,☐ Sí ☐ No,💡 Para europeos,
181,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.2 Camino a Residencia Permanente,Reunificación familiar,☐ Sí ☐ No,✅ Mencionado,
182,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.2 Camino a Residencia Permanente,"Renovación de documentos (cédula, RUC)",☐ Sí ☐ No,💡,
183,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.2 Camino a Residencia Permanente,Cambio de domicilio (en Migraciones),☐ Sí ☐ No,💡,
184,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.2 Camino a Residencia Permanente,Carta de salida de emigración (NL),☐ Sí ☐ No,💡 BRP deregistration,
185,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Introducción a clubes sociales,☐ Sí ☐ No,✅ Lo hace,
186,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Introducción a comunidad de expats,☐ Sí ☐ No,✅ Grupos WhatsApp,
187,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Referencia de profesor de español,☐ Sí ☐ No,✅ Lo hace,
188,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Clases de guaraní básico,☐ Sí ☐ No,💡 Integración,
189,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Clases de cocina paraguaya,☐ Sí ☐ No,"💡 Chipa, sopa",
190,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Coordinación de eventos de networking,☐ Sí ☐ No,💡,
191,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Inscripción en club deportivo / gym,☐ Sí ☐ No,💡,
192,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Introducción a comunidad religiosa,☐ Sí ☐ No,"💡 Iglesias, sinagoga",
193,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Conexión con voluntariado / ONG,☐ Sí ☐ No,💡,
194,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Planificación de viaje de fin de semana,☐ Sí ☐ No,"🟡 ""Turismo según el cliente""",
195,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Recordatorio de renovación de visa/residencia,☐ Sí ☐ No,💡,
196,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Consulta de check-up al año,☐ Sí ☐ No,💡,
197,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Consultoría de estrategia de salida,☐ Sí ☐ No,💡 Si cliente se va,
198,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Introducción a administración de propiedades,☐ Sí ☐ No,💡 Dueños no residentes,
199,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.3 Estilo de Vida & Integración,Redirección de correo (continuo),☐ Sí ☐ No,💡,
200,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Conserjería de emergencia 24/7 (teléfono),☐ Sí ☐ No,💡 Toque personal,
201,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Transfer privado aeropuerto (vehículo de lujo),☐ Sí ☐ No,💡,
202,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Tour VIP de propiedades (¿helicóptero?),☐ 😂 Broma,💡 Pero posible,
203,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Asistente personal (servicio continuo),☐ Sí ☐ No,💡 Retainer mensual,
204,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Setup de family office,☐ Sí ☐ No,💡 Para HNW,
205,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Gestión de portafolio inmobiliario,☐ Sí ☐ No,💡 Múltiples propiedades,
206,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Consultoría de inversión agrícola,☐ Sí ☐ No,🟡 PREGUNTA — programa tierras,
207,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Introducción a socios de negocio,☐ Sí ☐ No,💡 Joint ventures,
208,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Representación legal (retainer continuo),☐ Sí ☐ No,💡,
209,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Reubicación de empresa completa,☐ Sí ☐ No,💡 Paquete enterprise,
210,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.4 Servicios Premium / White-Glove,Visa de inversor / golden visa alternativa,☐ Sí ☐ No,💡 PY no tiene pero comparable,
